place,descr_text,source,date
Munich,Beschreibung rechter Gewalt,Beratungsstelle,01/01/18
Munich,Beschreibung rechter Gewalt,Allgemeine Zeitung,01/01/18
Munich,Beschreibung rechter Gewalt,Allgemeine Zeitung,02/01/18
Munich,Beschreibung rechter Gewalt,Antifa-Blog,02/01/18
Munich,Beschreibung rechter Gewalt,Antifa-Blog,03/01/18
Nuremberg,Beschreibung rechter Gewalt,Antifa-Blog,03/01/18
Augsburg,Beschreibung rechter Gewalt,Parlamentarische Anfrage,04/01/18
Regensburg,Beschreibung rechter Gewalt,Parlamentarische Anfrage,04/01/18
Ingolstadt,Beschreibung rechter Gewalt,Parlamentarische Anfrage,05/01/18
Fürth,Beschreibung rechter Gewalt,Polizeimeldung,05/01/18
Fürth,Beschreibung rechter Gewalt,Beratungsstelle,06/01/18
Fürth,Beschreibung rechter Gewalt,Allgemeine Zeitung,06/01/18
Fürth,Beschreibung rechter Gewalt,Allgemeine Zeitung,07/01/18
Fürth,Beschreibung rechter Gewalt,Allgemeine Zeitung,07/01/18
Fürth,Beschreibung rechter Gewalt,Antifa-Blog,14/01/18
Fürth,Beschreibung rechter Gewalt,Beratungsstelle,28/01/18
Würzburg,Beschreibung rechter Gewalt,Allgemeine Zeitung,11/02/18
Erlangen,Beschreibung rechter Gewalt,Antifa-Blog,25/02/18
Wolfratshausen,Beschreibung rechter Gewalt,Allgemeine Zeitung,11/03/18
Bamberg,Beschreibung rechter Gewalt,Antifa-Blog,25/03/18
Bamberg,Beschreibung rechter Gewalt,Beratungsstelle,08/04/18
Bamberg,Beschreibung rechter Gewalt,Polizeimeldung,22/04/18
Bamberg,Beschreibung rechter Gewalt,Allgemeine Zeitung,06/05/18
Bayreuth,Beschreibung rechter Gewalt,Polizeimeldung,20/05/18
Landshut,Beschreibung rechter Gewalt,Beratungsstelle,03/06/18
Aschaffenburg,Beschreibung rechter Gewalt,Polizeimeldung,17/06/18
Kempten,Beschreibung rechter Gewalt,Polizeimeldung,01/07/18
Rosenheim,Beschreibung rechter Gewalt,Polizeimeldung,15/07/18
Coburg,Beschreibung rechter Gewalt,Allgemeine Zeitung,29/07/18
Neu-Ulm,Beschreibung rechter Gewalt,Polizeimeldung,12/08/18
Schweinfurt,Beschreibung rechter Gewalt,Allgemeine Zeitung,26/08/18
Passau,Beschreibung rechter Gewalt,Polizeimeldung,09/09/18
Freising,Beschreibung rechter Gewalt,Beratungsstelle,23/09/18
Dachau,Beschreibung rechter Gewalt,Polizeimeldung,07/10/18
Straubing,Beschreibung rechter Gewalt,Allgemeine Zeitung,21/10/18
Hof,Beschreibung rechter Gewalt,Polizeimeldung,04/11/18
Kaufbeuren,Beschreibung rechter Gewalt,Polizeimeldung,18/11/18
Memmingen,Beschreibung rechter Gewalt,Polizeimeldung,02/12/18
